,Weekend,Season,Weather,RoadCond,PoliceActivity,NoJourneys,Country,AvgSpeed,DangerLvl,NoAccidents,NoFatalities
2329,working,,bad,bad,regular,medium,,low,low,,low
2330,working,,bad,bad,regular,low,Europe,low,low,medium,low
2331,,winter,,bad,regular,low,US,high,low,medium,medium
2332,working,spring,,good,regular,medium,Europe,high,low,low,medium
2333,working,spring,good,bad,regular,medium,Europe,low,low,medium,high
2334,weekend,spring,bad,bad,increased,low,UK,high,high,low,low
2335,weekend,winter,bad,bad,,medium,US,low,low,high,low
2336,working,fall,good,good,regular,medium,US,low,low,medium,low
2337,,winter,bad,bad,regular,low,UK,low,low,medium,high
2338,weekend,fall,good,,regular,medium,Europe,low,low,low,low
2339,working,spring,good,good,regular,medium,US,high,low,medium,low
2340,weekend,,good,good,regular,low,Europe,high,low,high,low
2341,working,fall,good,good,regular,low,US,high,low,high,high
2342,working,spring,good,bad,regular,medium,Europe,low,low,low,low
2343,weekend,summer,good,good,regular,medium,Europe,high,high,low,medium
2344,weekend,winter,good,good,regular,medium,UK,high,low,low,low
2345,weekend,fall,bad,,regular,medium,US,high,low,low,low
2346,working,winter,bad,bad,regular,low,Europe,high,low,low,low
2347,,fall,good,good,regular,low,Europe,high,low,medium,medium
2348,working,fall,good,good,regular,medium,Europe,low,low,medium,medium
2349,working,spring,bad,bad,regular,low,Europe,low,low,low,low
2350,weekend,fall,bad,bad,regular,low,Europe,low,low,,medium
2351,working,fall,good,good,regular,low,Europe,high,low,low,low
2352,working,fall,good,bad,regular,medium,Europe,low,low,low,low
2353,weekend,summer,good,good,regular,medium,UK,high,low,low,low
2354,working,spring,good,good,regular,medium,,low,low,medium,high
2355,weekend,fall,good,bad,regular,low,UK,low,low,low,low
2356,holiday,fall,bad,bad,regular,,Europe,low,low,high,high
2357,working,winter,bad,good,regular,medium,Europe,high,low,low,low
2358,working,winter,bad,bad,regular,low,Europe,low,low,medium,low
2359,working,spring,bad,good,regular,medium,US,low,low,high,high
2360,working,winter,bad,bad,regular,low,US,low,low,high,medium
2361,working,winter,good,good,regular,medium,Europe,low,low,,low
2362,weekend,spring,good,good,regular,medium,US,high,low,low,low
2363,working,spring,bad,bad,regular,medium,US,low,low,medium,high
2364,working,spring,good,bad,regular,medium,Europe,low,low,high,medium
2365,,summer,good,good,regular,medium,Europe,high,low,low,low
2366,working,spring,bad,bad,regular,low,US,low,low,medium,low
2367,weekend,winter,good,good,regular,low,US,high,low,low,low
2368,weekend,spring,bad,good,regular,medium,Europe,low,,low,low
2369,,spring,good,good,regular,medium,Europe,low,low,,medium
2370,weekend,winter,good,good,regular,medium,Europe,high,low,medium,high
2371,working,winter,bad,bad,regular,medium,Europe,,low,low,low
2372,working,winter,bad,bad,regular,low,Europe,low,low,low,low
2373,weekend,spring,bad,bad,regular,low,UK,low,low,high,high
2374,working,spring,bad,good,regular,medium,US,high,low,low,low
2375,weekend,fall,good,good,increased,low,Europe,high,low,low,low
2376,working,summer,good,bad,regular,,US,low,low,low,medium
2377,working,summer,good,good,regular,medium,Europe,high,low,low,low
2378,working,spring,good,good,regular,medium,Europe,low,low,low,low
2379,working,summer,good,good,regular,medium,Europe,low,low,medium,high
2380,working,fall,bad,bad,regular,low,Europe,low,low,low,low
2381,working,fall,,good,regular,medium,Europe,low,low,low,low
2382,weekend,spring,good,good,regular,,US,high,low,low,low
2383,working,fall,bad,bad,regular,low,Europe,high,high,low,high
2384,working,fall,good,good,regular,low,Europe,high,low,low,low
2385,working,spring,bad,bad,regular,low,Europe,low,low,,high
2386,weekend,fall,bad,bad,regular,medium,UK,low,low,low,low
2387,working,spring,good,good,regular,medium,US,high,low,low,low
2388,weekend,fall,good,good,regular,medium,Europe,low,low,medium,low
2389,weekend,winter,bad,bad,regular,medium,UK,low,low,medium,high
2390,weekend,fall,good,bad,regular,low,Europe,low,low,low,low
2391,,winter,bad,bad,regular,low,Europe,high,low,,low
2392,working,spring,bad,,regular,low,Europe,low,low,medium,medium
2393,working,spring,good,good,increased,medium,US,high,low,medium,low
2394,weekend,fall,good,good,regular,low,UK,high,high,low,high
2395,working,spring,good,good,regular,medium,UK,low,low,medium,medium
2396,working,fall,good,good,regular,medium,Europe,high,,low,
2397,weekend,winter,bad,bad,regular,low,Europe,low,low,low,low
2398,working,fall,bad,bad,regular,,Europe,low,low,high,high
2399,weekend,winter,bad,bad,regular,low,Europe,low,low,,high
2400,working,winter,good,good,regular,,UK,low,low,medium,high
2401,working,spring,good,good,regular,low,Europe,low,low,medium,high
2402,working,fall,good,good,regular,medium,Europe,low,low,low,low
2403,working,spring,good,good,regular,low,Europe,low,low,low,low
2404,holiday,summer,good,good,regular,low,US,high,low,medium,low
2405,working,spring,good,bad,regular,medium,UK,high,high,high,high
2406,weekend,summer,good,good,regular,low,Europe,high,low,high,medium
2407,working,spring,bad,bad,increased,low,US,high,low,medium,high
2408,weekend,fall,bad,bad,regular,,UK,low,low,low,low
2409,working,winter,bad,bad,regular,low,US,,low,low,
2410,working,spring,bad,bad,regular,low,,low,low,low,high
2411,working,spring,bad,bad,regular,low,Europe,high,low,low,low
2412,working,summer,bad,bad,regular,low,Europe,low,low,medium,high
2413,working,,good,good,regular,medium,Europe,high,low,low,low
2414,working,winter,bad,good,regular,,US,high,low,low,low
2415,working,summer,,good,regular,medium,UK,high,low,low,low
2416,working,summer,good,good,regular,medium,UK,low,low,high,low
2417,working,spring,bad,bad,regular,medium,UK,low,low,medium,low
2418,working,fall,good,good,regular,medium,Europe,high,low,low,low
2419,weekend,winter,bad,good,regular,medium,Europe,low,low,low,medium
2420,working,spring,good,good,regular,,Europe,high,low,high,medium
2421,weekend,fall,bad,good,,medium,UK,low,low,low,medium
2422,working,summer,good,good,regular,,Europe,low,low,high,high
2423,working,spring,good,good,regular,low,UK,high,high,medium,high
2424,weekend,spring,bad,bad,regular,low,Europe,low,low,low,low
2425,working,spring,good,good,regular,medium,Europe,high,low,medium,medium
2426,working,fall,good,good,regular,medium,US,high,low,low,low
2427,working,spring,good,good,increased,low,Europe,low,low,low,low
2428,working,spring,bad,good,regular,medium,Europe,high,low,low,medium
2429,working,spring,,bad,increased,low,Europe,high,low,low,low
2430,working,summer,good,good,regular,medium,Europe,high,low,medium,low
2431,working,spring,bad,bad,regular,medium,UK,low,low,low,low
2432,weekend,spring,bad,bad,regular,medium,UK,high,,medium,low
2433,working,spring,bad,bad,regular,medium,US,high,low,medium,high
2434,working,winter,bad,bad,regular,medium,Europe,low,low,medium,low
2435,working,summer,good,good,regular,medium,UK,high,low,high,medium
2436,working,summer,good,good,regular,medium,UK,high,low,medium,medium
2437,weekend,fall,bad,bad,regular,medium,Europe,,,medium,medium
2438,working,summer,good,good,regular,low,US,high,low,low,low
2439,weekend,summer,bad,bad,,low,Europe,low,low,low,low
2440,working,fall,bad,bad,regular,low,Europe,high,,low,
2441,weekend,fall,good,good,regular,low,Europe,high,low,low,low
2442,working,summer,good,good,regular,medium,Europe,high,low,medium,high
2443,weekend,spring,good,bad,regular,medium,US,low,low,low,low
2444,working,summer,good,good,regular,medium,Europe,high,low,low,medium
2445,working,fall,good,good,regular,medium,US,low,high,low,high
2446,working,spring,,good,regular,low,Europe,low,low,low,low
2447,holiday,summer,bad,bad,regular,medium,UK,low,low,medium,
2448,working,winter,bad,good,regular,low,Europe,,low,low,low
2449,weekend,spring,good,good,regular,medium,Europe,low,low,low,low
2450,holiday,summer,good,good,,medium,Europe,high,low,low,low
2451,working,winter,bad,good,regular,low,UK,low,low,low,medium
2452,working,fall,good,good,regular,low,Europe,high,low,low,medium
2453,weekend,winter,good,bad,,low,US,high,low,low,low
2454,weekend,fall,,good,regular,,Europe,low,low,medium,high
2455,working,fall,good,good,regular,medium,Europe,low,low,low,low
2456,working,fall,bad,bad,regular,medium,Europe,low,low,low,low
2457,working,,bad,bad,regular,medium,US,low,low,low,low
2458,working,fall,bad,bad,regular,medium,UK,high,low,low,low
2459,working,,bad,bad,regular,low,US,low,low,low,medium
2460,holiday,summer,good,good,regular,low,Europe,low,low,medium,medium
2461,working,summer,good,good,regular,medium,US,high,low,medium,medium
2462,working,winter,bad,bad,regular,medium,UK,low,low,medium,low
2463,working,winter,bad,bad,regular,medium,Europe,low,low,medium,medium
2464,weekend,winter,bad,good,regular,medium,UK,low,low,low,low
2465,working,summer,good,bad,regular,medium,Europe,low,low,high,medium
2466,working,fall,good,good,regular,medium,Europe,low,low,low,low
2467,working,spring,bad,bad,increased,low,Europe,low,low,low,low
2468,working,summer,good,good,regular,medium,Europe,high,low,low,low
2469,holiday,winter,bad,bad,regular,medium,UK,low,high,high,medium
2470,working,winter,bad,bad,regular,medium,,low,low,high,low
2471,working,,bad,bad,regular,medium,Europe,low,low,medium,high
2472,weekend,summer,bad,bad,regular,low,Europe,low,low,low,low
2473,holiday,fall,bad,good,regular,medium,UK,low,low,low,low
2474,,summer,good,good,regular,medium,Europe,high,high,,high
2475,working,summer,good,good,regular,medium,Europe,low,low,medium,
2476,weekend,fall,bad,bad,regular,low,US,low,low,high,high
2477,working,spring,bad,good,regular,medium,Europe,high,low,medium,low
2478,working,spring,bad,bad,regular,low,US,low,low,low,medium
2479,working,winter,bad,bad,regular,low,Europe,low,,high,medium
2480,working,fall,,,regular,medium,Europe,high,low,low,low
2481,working,fall,good,good,regular,medium,US,low,low,low,low
2482,working,fall,bad,good,,low,Europe,high,low,low,low
2483,,spring,good,good,regular,low,US,high,low,low,medium
2484,working,winter,bad,bad,regular,low,US,high,low,medium,high
2485,working,summer,good,good,regular,medium,Europe,high,low,low,low
2486,holiday,winter,bad,good,,medium,Europe,low,low,low,low
2487,working,fall,bad,good,regular,low,US,low,low,low,low
2488,working,winter,bad,bad,regular,medium,US,low,low,medium,high
2489,weekend,,good,good,regular,medium,Europe,high,low,low,medium
2490,working,winter,,bad,regular,low,US,low,low,low,
2491,working,summer,good,good,regular,low,US,,low,low,
2492,weekend,summer,good,good,increased,medium,Europe,low,low,low,low
2493,working,summer,bad,bad,regular,,Europe,low,low,high,high
2494,working,winter,bad,good,regular,low,Europe,high,low,low,low
2495,working,winter,bad,bad,,medium,Europe,low,low,medium,high
2496,weekend,summer,bad,bad,regular,low,Europe,low,low,low,low
2497,holiday,summer,good,good,regular,medium,US,,low,low,low
2498,working,spring,bad,bad,regular,low,Europe,low,low,low,low
2499,weekend,spring,good,good,regular,medium,US,low,low,medium,high
2500,weekend,fall,good,good,regular,medium,US,high,low,low,
2501,working,spring,good,good,regular,medium,US,low,low,medium,low
2502,working,fall,good,,regular,medium,US,low,low,medium,low
2503,,fall,good,good,regular,low,Europe,low,low,low,low
2504,working,fall,good,good,,low,UK,high,low,low,low
2505,,spring,good,good,,,Europe,low,low,medium,medium
2506,weekend,winter,bad,bad,regular,medium,US,low,,,high
2507,working,spring,good,good,regular,medium,Europe,low,low,high,medium
2508,weekend,fall,bad,,regular,medium,Europe,high,low,medium,high
2509,weekend,summer,bad,bad,regular,medium,Europe,low,low,medium,medium
2510,working,spring,bad,bad,regular,medium,US,high,high,low,high
2511,weekend,fall,bad,bad,regular,medium,UK,high,low,medium,low
2512,working,summer,good,good,regular,medium,US,high,high,medium,low
2513,working,spring,bad,good,regular,medium,UK,high,low,low,high
2514,weekend,summer,good,good,regular,low,Europe,high,low,low,low
2515,working,summer,good,good,regular,medium,Europe,high,high,high,low
2516,working,,good,good,regular,low,Europe,high,low,high,low
2517,working,fall,good,bad,regular,medium,Europe,low,low,high,
2518,working,fall,good,bad,regular,medium,Europe,high,low,low,low
2519,,summer,,good,regular,medium,Europe,low,low,low,low
2520,weekend,spring,good,good,regular,medium,US,low,low,low,low
2521,holiday,summer,good,good,regular,medium,Europe,high,,medium,medium
2522,weekend,summer,good,good,regular,medium,US,high,low,,medium
2523,working,summer,good,good,,medium,UK,high,low,low,low
2524,working,winter,good,bad,regular,low,Europe,low,low,low,low
2525,working,summer,good,good,regular,medium,Europe,low,low,low,low
2526,,winter,bad,bad,regular,low,US,low,low,low,low
2527,working,spring,good,good,,medium,UK,high,low,low,low
2528,working,fall,good,good,regular,medium,US,low,low,high,medium
2529,working,summer,good,good,regular,,UK,high,high,high,medium
2530,weekend,summer,bad,bad,regular,low,US,high,low,low,low
2531,working,spring,good,good,regular,low,US,low,low,medium,medium
2532,weekend,summer,good,good,regular,medium,US,low,low,low,low
2533,working,spring,,bad,regular,medium,UK,low,low,medium,high
2534,working,summer,bad,bad,regular,low,UK,low,low,low,low
2535,weekend,winter,bad,bad,regular,low,Europe,low,low,high,high
2536,working,spring,good,good,regular,medium,Europe,low,low,high,high
2537,weekend,summer,bad,bad,regular,,UK,high,low,medium,
2538,working,spring,good,bad,regular,medium,UK,low,low,medium,low
2539,working,winter,bad,bad,regular,medium,US,high,high,high,
2540,working,fall,good,good,increased,medium,US,,low,low,low
2541,weekend,summer,good,good,regular,,Europe,low,low,low,low
2542,working,fall,bad,bad,regular,low,,low,low,high,medium
2543,working,spring,bad,,regular,medium,UK,low,low,low,medium
2544,working,summer,good,good,regular,medium,Europe,low,low,low,medium
2545,weekend,fall,good,bad,regular,low,Europe,low,low,low,high
2546,working,summer,good,good,regular,medium,Europe,high,low,low,low
2547,working,fall,bad,bad,regular,low,Europe,low,,low,medium
2548,working,fall,bad,bad,regular,medium,Europe,high,low,low,high
2549,holiday,fall,good,good,regular,medium,Europe,low,low,low,low
2550,working,,good,good,regular,medium,US,high,low,low,low
2551,,winter,bad,,regular,medium,Europe,low,low,low,low
2552,working,spring,bad,good,regular,medium,US,high,low,high,high
2553,weekend,fall,good,good,regular,medium,US,high,low,low,low
2554,working,winter,bad,bad,,medium,UK,,low,low,low
2555,weekend,fall,good,good,,medium,Europe,high,low,medium,high
2556,working,summer,good,bad,regular,medium,,low,low,high,high
2557,weekend,summer,good,good,regular,medium,UK,high,,low,medium
2558,working,winter,bad,bad,regular,low,Europe,low,low,low,low
2559,working,winter,bad,bad,regular,medium,Europe,low,low,low,medium
2560,working,spring,bad,bad,regular,low,Europe,low,low,medium,medium
2561,weekend,fall,bad,,increased,low,Europe,low,low,high,high
2562,working,summer,good,good,regular,medium,US,low,low,medium,medium
2563,working,winter,bad,bad,regular,medium,UK,low,low,low,high
2564,working,,bad,bad,regular,medium,Europe,low,low,high,high
2565,working,summer,,good,regular,medium,Europe,high,low,low,low
2566,working,summer,good,good,regular,low,Europe,low,low,low,low
2567,,fall,good,good,regular,medium,UK,high,low,medium,medium
2568,working,spring,good,good,regular,medium,Europe,low,low,low,low
2569,weekend,summer,good,good,regular,low,US,high,low,low,low
2570,working,winter,bad,bad,regular,medium,Europe,low,low,medium,high
2571,weekend,,,bad,regular,low,US,low,,,low
2572,working,,good,good,regular,medium,US,high,low,medium,high
2573,working,summer,,good,regular,low,Europe,high,low,medium,high
2574,weekend,,good,good,regular,low,,high,low,low,low
2575,weekend,winter,bad,good,regular,medium,US,low,low,low,low
2576,weekend,summer,bad,bad,regular,medium,UK,low,low,high,
2577,working,spring,good,bad,regular,medium,,,low,medium,low
2578,working,spring,bad,bad,regular,medium,Europe,low,low,medium,medium
2579,holiday,winter,bad,bad,regular,low,US,low,high,medium,low
2580,weekend,fall,bad,bad,regular,low,UK,low,low,low,medium
2581,working,winter,good,good,regular,medium,UK,,low,high,high
2582,working,summer,good,good,regular,medium,US,low,low,low,medium
2583,working,fall,good,good,regular,medium,Europe,high,low,low,low
2584,working,fall,,bad,regular,low,UK,low,low,,low
2585,working,spring,,good,regular,low,US,low,low,low,low
2586,working,spring,good,bad,regular,low,UK,low,low,low,low
2587,working,fall,bad,good,regular,low,US,low,low,,medium
2588,working,winter,bad,bad,regular,low,Europe,low,low,medium,low
2589,weekend,summer,good,good,increased,medium,Europe,low,low,low,low
2590,working,winter,bad,bad,regular,medium,Europe,low,low,low,
2591,working,spring,good,good,regular,medium,Europe,high,low,low,low
2592,working,winter,bad,bad,regular,medium,Europe,low,low,medium,high
2593,working,,,good,regular,medium,US,high,low,low,low
2594,weekend,spring,bad,bad,regular,low,US,low,low,low,medium
2595,working,winter,bad,bad,regular,low,US,high,low,low,low
2596,working,spring,bad,bad,regular,medium,Europe,low,low,medium,medium
2597,weekend,spring,bad,bad,regular,low,UK,low,low,low,low
2598,working,summer,good,good,regular,medium,Europe,low,low,low,low
2599,working,summer,good,good,regular,medium,Europe,low,low,low,low
2600,working,winter,bad,,regular,,Europe,low,low,medium,medium
2601,working,winter,bad,good,regular,,US,high,,low,low
2602,working,fall,good,bad,regular,medium,Europe,low,low,medium,medium
2603,working,summer,good,good,increased,medium,Europe,high,low,medium,low
2604,weekend,winter,bad,bad,regular,low,UK,low,low,,low
2605,working,spring,good,good,regular,medium,Europe,high,low,high,high
2606,weekend,winter,bad,bad,regular,low,US,low,low,low,high
2607,working,winter,bad,bad,,medium,UK,low,low,low,low
2608,working,winter,bad,bad,regular,medium,Europe,low,low,,low
2609,weekend,summer,bad,bad,regular,low,UK,low,low,medium,low
2610,working,fall,bad,bad,regular,low,UK,low,,low,low
2611,working,spring,,good,regular,medium,Europe,,low,low,medium
2612,working,summer,good,good,regular,medium,US,low,low,low,low
2613,working,summer,bad,,regular,low,US,high,low,high,
2614,,summer,good,good,regular,medium,UK,high,low,medium,low
2615,working,summer,good,good,,medium,Europe,high,low,medium,medium
2616,working,spring,bad,bad,increased,medium,UK,low,low,medium,
2617,working,summer,good,good,increased,medium,,low,low,low,low
2618,,winter,bad,bad,regular,low,Europe,low,low,low,low
2619,weekend,winter,bad,bad,regular,low,Europe,low,low,low,low
2620,working,winter,bad,bad,regular,,Europe,high,low,low,low
2621,weekend,fall,good,bad,regular,medium,UK,high,low,low,low
2622,working,summer,good,good,regular,medium,US,high,low,low,medium
2623,,spring,bad,good,regular,low,UK,high,low,low,low
2624,working,spring,good,good,regular,medium,US,high,low,high,low
2625,working,winter,bad,good,regular,low,Europe,,low,low,low
2626,working,fall,bad,bad,regular,low,US,low,low,low,low
2627,working,spring,bad,bad,regular,low,UK,low,,low,medium
2628,,fall,good,good,regular,medium,Europe,low,low,medium,high
2629,working,spring,good,good,regular,medium,US,low,low,low,low
2630,working,winter,bad,bad,regular,medium,UK,high,low,low,low
2631,working,spring,good,good,regular,medium,US,low,low,low,low
2632,working,fall,good,good,regular,medium,Europe,high,low,medium,medium
2633,working,winter,good,,regular,medium,UK,high,low,low,low
2634,working,fall,bad,bad,regular,medium,US,low,low,medium,medium
2635,weekend,summer,good,good,regular,medium,Europe,high,low,low,low
2636,working,spring,bad,bad,,medium,US,low,low,low,medium
2637,weekend,fall,good,good,regular,medium,UK,,,low,low
2638,weekend,winter,bad,bad,regular,,UK,high,low,low,low
2639,working,winter,bad,good,regular,medium,Europe,high,low,low,high
2640,working,summer,good,good,regular,medium,Europe,high,low,low,low
2641,weekend,winter,bad,bad,regular,low,UK,low,low,low,low
2642,weekend,spring,bad,bad,regular,medium,Europe,high,low,medium,medium
2643,weekend,summer,good,good,increased,medium,US,high,low,high,
2644,working,spring,good,good,regular,medium,UK,low,low,medium,high
2645,working,,bad,bad,regular,medium,Europe,high,high,high,high
2646,weekend,summer,good,good,regular,medium,UK,high,low,medium,low
2647,weekend,winter,good,good,regular,medium,Europe,low,high,low,medium
2648,working,winter,bad,bad,regular,medium,Europe,low,low,medium,low
2649,holiday,spring,bad,bad,regular,low,UK,low,low,low,low
2650,working,winter,bad,bad,regular,medium,UK,high,low,low,high
2651,working,summer,,good,regular,medium,US,,low,high,high
2652,weekend,fall,bad,good,regular,medium,Europe,low,low,high,low
2653,working,summer,good,good,regular,medium,Europe,low,low,high,medium
2654,working,winter,good,good,,,Europe,high,high,low,low
2655,working,fall,good,good,regular,medium,US,high,,medium,medium
2656,weekend,fall,good,good,regular,medium,Europe,low,low,low,low
2657,working,,bad,good,regular,low,Europe,low,low,low,low
2658,holiday,fall,bad,good,,low,US,low,low,low,low
2659,working,summer,good,good,increased,medium,UK,high,low,low,medium
2660,working,spring,good,good,regular,,Europe,high,low,low,low
2661,working,fall,good,good,regular,low,UK,high,low,high,medium
2662,working,fall,good,bad,regular,medium,Europe,high,high,high,
2663,working,winter,bad,bad,regular,low,Europe,low,low,low,low
2664,working,summer,good,good,regular,medium,US,high,low,low,low
2665,weekend,summer,good,good,regular,medium,UK,high,low,medium,low
2666,working,winter,bad,bad,regular,low,Europe,low,low,high,low
2667,working,fall,bad,bad,regular,low,US,low,low,low,medium
2668,weekend,fall,bad,bad,regular,medium,UK,low,low,medium,medium
2669,weekend,fall,good,good,regular,medium,Europe,high,low,high,medium
2670,working,summer,good,good,regular,,UK,high,low,low,low
2671,working,spring,good,good,regular,medium,UK,low,low,medium,high
2672,working,summer,good,good,,medium,Europe,low,low,medium,high
2673,working,fall,good,good,regular,medium,US,low,low,high,high
2674,working,summer,good,good,regular,medium,Europe,high,high,high,high
2675,working,winter,good,good,regular,low,US,high,low,medium,medium
2676,working,spring,bad,bad,regular,low,Europe,low,low,medium,medium
2677,working,spring,good,good,regular,medium,Europe,low,low,medium,high
2678,working,spring,good,good,regular,medium,US,high,low,medium,medium
2679,weekend,winter,bad,bad,regular,medium,US,low,low,medium,medium
2680,working,summer,good,good,regular,medium,UK,low,low,low,
2681,working,spring,good,good,regular,low,Europe,high,high,low,high
2682,holiday,spring,bad,bad,regular,medium,Europe,low,low,medium,medium
2683,working,summer,good,bad,regular,medium,US,high,low,low,low
2684,weekend,winter,bad,bad,regular,medium,Europe,low,low,low,low
2685,weekend,fall,good,good,regular,medium,Europe,high,low,,low
2686,working,spring,good,good,regular,medium,Europe,low,high,medium,
2687,working,,bad,bad,regular,low,UK,low,low,,low
2688,holiday,winter,bad,bad,regular,medium,US,high,low,high,medium
2689,working,spring,bad,good,regular,,Europe,low,low,medium,high
2690,working,winter,bad,good,regular,medium,UK,high,low,medium,high
2691,working,fall,bad,bad,regular,medium,US,low,low,low,low
2692,working,spring,good,good,regular,medium,Europe,high,low,low,low
2693,working,summer,good,good,regular,medium,Europe,low,low,low,low
2694,working,summer,good,good,regular,medium,US,low,low,,low
2695,weekend,fall,,bad,regular,medium,Europe,low,low,high,medium
2696,holiday,fall,good,good,regular,medium,UK,,low,low,low
2697,working,winter,good,good,increased,medium,UK,low,low,low,low
2698,,winter,bad,bad,regular,,US,low,low,low,medium
2699,working,winter,bad,bad,,,,low,low,,low
2700,working,spring,good,,,medium,UK,high,low,medium,low
2701,weekend,spring,good,good,regular,medium,Europe,high,low,low,low
2702,working,winter,bad,good,regular,medium,Europe,low,low,medium,high
2703,weekend,winter,bad,bad,regular,low,Europe,high,low,low,low
2704,working,fall,good,bad,regular,medium,Europe,low,low,low,medium
2705,weekend,summer,bad,good,regular,low,Europe,high,low,low,low
2706,working,summer,good,good,regular,medium,US,low,low,low,low
2707,working,,good,good,regular,medium,Europe,low,low,high,high
2708,working,summer,good,bad,regular,medium,Europe,low,high,high,low
2709,weekend,summer,good,good,regular,medium,Europe,low,low,,low
2710,weekend,fall,good,good,regular,medium,UK,low,low,high,high
2711,working,winter,bad,good,regular,medium,US,low,low,low,low
2712,holiday,spring,good,good,regular,medium,US,low,low,,low
2713,working,summer,good,good,regular,medium,Europe,low,low,medium,high
2714,working,summer,good,good,regular,medium,,low,low,low,low
2715,working,fall,good,good,regular,medium,Europe,low,low,low,medium
2716,working,spring,bad,bad,regular,medium,Europe,high,low,low,medium
2717,working,summer,good,bad,,medium,UK,low,low,medium,high
2718,working,winter,good,good,regular,medium,Europe,low,low,high,high
2719,working,fall,good,good,regular,medium,Europe,low,,medium,low
2720,working,winter,bad,bad,increased,medium,Europe,low,low,low,low
2721,weekend,winter,bad,bad,regular,low,US,low,low,low,low
2722,weekend,summer,,good,regular,medium,UK,low,low,medium,low
2723,working,,good,good,regular,medium,UK,high,,high,high
2724,weekend,spring,good,good,regular,medium,Europe,high,,medium,high
2725,working,summer,good,bad,regular,medium,US,low,low,medium,medium
2726,weekend,winter,good,bad,regular,medium,Europe,low,low,high,medium
2727,working,winter,bad,good,regular,medium,Europe,high,low,medium,low
2728,working,summer,good,good,regular,medium,Europe,low,low,high,high
2729,weekend,winter,bad,good,regular,medium,Europe,high,low,low,medium
2730,working,winter,good,good,regular,medium,Europe,low,low,medium,medium
2731,weekend,spring,good,good,regular,medium,Europe,low,low,medium,high
2732,working,spring,good,,regular,medium,UK,low,low,low,low
2733,weekend,summer,good,good,regular,medium,,high,high,high,high
2734,working,fall,good,good,,medium,UK,high,low,low,low
2735,weekend,fall,bad,bad,regular,medium,US,low,low,,low
2736,working,fall,good,good,regular,medium,UK,,low,low,low
2737,working,winter,bad,bad,regular,medium,US,low,low,low,low
2738,,winter,bad,bad,regular,low,US,high,low,medium,high
2739,,winter,bad,bad,regular,low,US,high,low,low,low
2740,working,summer,good,good,increased,medium,Europe,low,low,medium,medium
2741,working,spring,good,good,regular,medium,Europe,high,high,high,high
2742,working,summer,good,good,regular,,Europe,high,low,low,low
2743,weekend,summer,bad,bad,regular,low,UK,low,low,low,low
2744,working,fall,bad,good,regular,medium,Europe,low,low,low,medium
2745,working,winter,good,good,regular,medium,US,low,low,low,low
2746,working,winter,good,good,regular,medium,UK,high,low,low,low
2747,working,summer,good,good,regular,medium,US,,low,high,low
2748,working,spring,,bad,regular,medium,Europe,low,low,high,medium
2749,weekend,fall,bad,,regular,medium,Europe,low,low,medium,high
2750,weekend,spring,bad,bad,regular,low,Europe,low,low,medium,
2751,working,fall,bad,bad,regular,medium,Europe,low,low,low,medium
2752,holiday,summer,good,good,regular,medium,US,high,low,,medium
2753,working,winter,bad,bad,regular,low,Europe,low,low,,low
2754,weekend,winter,bad,bad,regular,medium,Europe,low,low,high,high
2755,working,summer,bad,bad,regular,medium,Europe,,high,low,low
2756,weekend,fall,good,good,regular,medium,US,low,low,low,low
2757,holiday,winter,bad,bad,regular,low,Europe,high,low,medium,low
2758,working,winter,bad,bad,regular,medium,UK,high,low,medium,
2759,working,spring,bad,bad,regular,medium,Europe,high,,low,low
2760,working,spring,good,good,regular,low,Europe,low,low,low,low
2761,working,spring,good,good,increased,medium,US,high,low,low,medium
2762,working,summer,good,good,,medium,Europe,,low,low,low
2763,working,winter,bad,bad,regular,low,US,low,low,low,medium
2764,working,spring,good,good,regular,low,,high,,low,low
2765,working,winter,bad,bad,regular,medium,UK,,low,medium,high
2766,holiday,spring,good,good,regular,medium,,,low,low,low
2767,working,summer,,good,regular,medium,US,high,high,medium,medium
2768,weekend,summer,good,,regular,medium,UK,low,low,low,low
2769,working,fall,bad,bad,regular,medium,UK,low,low,medium,medium
2770,working,winter,bad,bad,regular,low,Europe,low,low,high,high
2771,weekend,winter,bad,,regular,low,US,low,low,medium,
2772,working,,good,good,regular,medium,Europe,high,low,low,low
2773,working,summer,bad,bad,regular,medium,US,low,low,medium,high
2774,working,winter,bad,good,regular,medium,Europe,low,,medium,
2775,weekend,spring,good,good,regular,medium,Europe,high,low,high,medium
2776,weekend,winter,good,bad,regular,low,Europe,low,low,medium,low
2777,,fall,good,bad,increased,medium,Europe,high,low,low,low
2778,working,summer,good,good,regular,medium,Europe,high,low,medium,low
2779,,fall,bad,bad,regular,low,Europe,low,high,low,low
2780,working,summer,good,good,regular,medium,Europe,low,low,high,low
2781,weekend,summer,,good,regular,medium,US,high,low,medium,medium
2782,working,spring,bad,bad,regular,medium,US,low,low,low,
2783,holiday,,bad,bad,regular,medium,UK,low,low,low,low
2784,holiday,fall,good,good,regular,medium,Europe,high,low,high,high
2785,weekend,winter,bad,good,regular,medium,Europe,high,low,medium,high
2786,working,spring,good,good,regular,medium,Europe,,low,medium,medium
2787,working,summer,bad,bad,regular,low,Europe,low,low,low,low
2788,working,summer,good,good,regular,medium,Europe,high,low,low,low
2789,working,spring,bad,bad,regular,medium,Europe,low,low,low,low
